int_name,stage_name
Aalenian,Aalenian
Aegean,Anisian
Alaunian,Norian
Angulata,Hettangian
Anisian,Anisian
Artinskian,Artinskian
Asselian,Asselian
Bajocian,Bajocian
Bathonian,Bathonian
Bifrons,Toarcian
Bithynian,Anisian
Bucklandi,Sinemurian
Capitanian,Capitanian
Carnian,Carnian
Changhsingian,Changhsingian
Concavum,Aalenian
Davoei,Pliensbachian
Dienerian,Induan
Discites,Bajocian
Early Aalenian,Aalenian
Early Bathonian,Bathonian
Early Pliensbachian,Pliensbachian
Early Sinemurian,Sinemurian
Early Toarcian,Toarcian
Falciferum,Toarcian
Fassanian,Ladinian
Griesbachian,Induan
Hettangian,Hettangian
Illyrian,Anisian
Induan,Induan
Julian,Carnian
Kungurian,Kungurian
Lacian,Norian
Ladinian,Ladinian
Late Aalenian,Aalenian
Late Bajocian,Bajocian
Late Bathonian,Bathonian
Late Pliensbachian,Pliensbachian
Late Toarcian,Toarcian
Liasicus,Hettangian
Longobardian,Ladinian
Margaritatus,Pliensbachian
Middle Bathonian,Bathonian
Middle Toarcian,Toarcian
Norian,Norian
Olenekian,Olenekian
Pelsonian,Anisian
Planorbis,Hettangian
Pliensbachian,Pliensbachian
Raricostatum,Sinemurian
Rhaetian,Rhaetian
Roadian,Roadian
Sakmarian,Sakmarian
Semicostatum,Sinemurian
Sevatian,Norian
Sinemurian,Sinemurian
Smithian,Olenekian
Spathian,Olenekian
Spinatum,Pliensbachian
Tenuicostatum,Toarcian
Thouarsense,Toarcian
Toarcian,Toarcian
Tuvalian,Carnian
Variabilis,Toarcian
Wordian,Wordian
Wuchiapingian,Wuchiapingian
